short	work_title	year	lang	lane	tier	translation	carrier_file	byline_verbatim	good_rate	bad_rate	url	dedup_note
focke-1881-pflanzen-mischlinge	W. O. Focke, Die Pflanzen-Mischlinge: ein Beitrag zur Biologie der Gewaechse | Borntraeger, Berlin 1881	1881	de	external	S1	no	diepflanzenmisch00fock.txt	G. Mendel in Verh. naturf. Ver. Bruenn IV Abh. p. 3 ff. // (2nd cite) G. Mendel in Verh. naturf. Ver. Bruenn IV Abh. p. 32 // Mendels zahlreiche Kreuzungen ergaben Resultate ... doch glaubte Mendel constante Zahlenverhaeltnisse zwischen den Typen der Mischlinge zu finden.	0.10247	0.00005	https://archive.org/details/diepflanzenmisch00fock	carrier exclusive. 5 further IA scans of the same 1881 edition dedup-collapsed: bub_gb_DYRtAAAAIAAJ, bub_gb_NZ8lAAAAMAAJ, bub_gb_ezkZAAAAYAAJ, diepflanzenmisc00fockgoog, bub_gb_xS9JAAAAMAAJ_2
correns-1900-mendels-regel	C. Correns, G. Mendels Regel ueber das Verhalten der Nachkommenschaft der Rassenbastarde | Ber. Deutsch. Bot. Ges. 18:158ff	1900	de	external	S1	no	mobot31753002189832.txt	19. C. Correns: G. Mendels Regel ueber das Verhalten der Nachkommenschaft der Rassenbastarde. Eingegangen am 24. April 1900.	0.10758	0.00077	https://archive.org/details/mobot31753002189832	SHARED carrier with devries-1900-spaltungsgesetz + tschermak-1900-kuenstliche-kreuzung (one scan = BDBG Bd.18, 1900)
devries-1900-spaltungsgesetz	Hugo de Vries, Das Spaltungsgesetz der Bastarde (Vorlaeufige Mittheilung) | Ber. Deutsch. Bot. Ges. 18:83ff	1900	de	external	S1	no	mobot31753002189832.txt	Hugo de Vries: Das Spaltungsgesetz der Bastarde. Vorlaeufige Mittheilung. Eingegangen am 14. Maerz 1900.	0.10758	0.00077	https://archive.org/details/mobot31753002189832	SHARED carrier with correns-1900-mendels-regel + tschermak-1900-kuenstliche-kreuzung (BDBG Bd.18)
tschermak-1900-kuenstliche-kreuzung	E. Tschermak, Ueber kuenstliche Kreuzung bei Pisum sativum | Ber. Deutsch. Bot. Ges. 18:232ff	1900	de	external	S1	no	mobot31753002189832.txt	26. E. Tschermak: Ueber kuenstliche Kreuzung bei Pisum sativum. Eingegangen am 2. Juni 1900.	0.10758	0.00077	https://archive.org/details/mobot31753002189832	SHARED carrier with correns-1900-mendels-regel + devries-1900-spaltungsgesetz (BDBG Bd.18)
bateson-1902-defence	William Bateson, Mendels Principles of Heredity: A Defence | Cambridge University Press 1902	1902	en	external	S1	no	mendelsprinciple00bate_1.txt	an unknown man, Gregor Johann Mendel, had, alone, and unheeded, broken off* from the rest // Gregor Johann Mendel was born on July 22, 1822, at Heinzendorf bei Odrau	0.00153	0.00011	https://archive.org/details/mendelsprinciple00bate_1	carrier exclusive. FRAKTUR OCR TEST NOT APPLICABLE (English): good/bad columns are the German-stopword measurement and are meaningless here; substitute check = English stopword rate 0.27957. Contains an English translation of mendel-1866-versuche-pflanzen-hybriden but is counted ONLY as external secondary, never as a translation source. Bateson 1909/1913 editions dedup-collapsed
punnett-1905-mendelism	R. C. Punnett, Mendelism | Macmillan & Bowes, Cambridge 1905 (1st ed.)	1905	en	external	S1	no	b28117256.txt	an appreciation of Mendels work, together with a translation of his papers, is given in Batesons book on Mendels Principles of Heredity (Cambridge, 1902). R. C. P. May, 1905.	0.00018	0.00000	https://archive.org/details/b28117256	carrier exclusive. FRAKTUR OCR TEST NOT APPLICABLE (English); substitute check = English stopword rate 0.29282. Punnett 1907/1911/1912/1913/1919 editions dedup-collapsed
vnvb-bd6-1867-makowsky-geum	Sitzungsbericht: A. Makowsky legt ein von Prof. G. Mendel durch kuenstliche Befruchtung erzogenes Geum urbano-rivale vor | Verh. naturf. Ver. Bruenn 6	1867	de	external	S1	no	verhandlungendes61867natu.txt	Herr Prof. A. Makowsky zeigt ein von dem Herrn Prof. G. Mendel durch kuenstliche Befruchtung erzogenes Exemplar von Geum urbano-rivale (intermedium Ehrh.)	0.11831	0.00023	https://archive.org/details/verhandlungendes61867natu	CONTENT OVERLAP with the carrier of mendel-1867-met-beob-1866 (verhandlungendes5618natu.txt = Bd.5-6 scan contains all of Bd.6). Different scans, sha256 differs, hash-dedup will NOT catch it. Kept because it is the only in-lifetime peer response to his hybridisation work
vnvb-bd10-1871-generalregister	Generalregister der Baende I-X | Verh. naturf. Ver. Bruenn 10	1871	de	external	S1	no	verhandlungende101871natu.txt	Mendel @. Die Windhose am 13. October 1870. . . . 229 // 2 IV. Bd. Mendel Gregor. Versuche ueber Pfanzen-Hybriden . .... 3	0.09459	0.00024	https://archive.org/details/verhandlungende101871natu	carrier exclusive. This is the authority index used to verify the 9 Verhandlungen works. Bd.10 carries no Mendel article, so no overlap with any primary
vnvb-bd23-1885-niessl-nachruf	Sitzungsbericht: G. v. Niessl meldet den Tod Gregor Mendels; Abgang durch den Tod | Verh. naturf. Ver. Bruenn 23	1885	de	timeline|external	S1	no	verhandlungende231884natu.txt	Der Seeretaer Herr Prof. G. v. Niessl theilt die betruebende Nachrieht von dem Tode des hochverdienten Vereinsmiteliedes P. oO Sa Gresor Mendel, inful. Abt des Augustinerstiftes in Bruenn mit.	0.09298	0.00019	https://archive.org/details/verhandlungende231884natu	carrier exclusive
bz-1884-01-07-todesnachricht	Bruenner Zeitung Nr.5, 07.01.1884: (+ Gregor Mendel, Praelat.) Todesnachricht	1884	de	timeline	S1	no	MISSING-overwritten	(t Gregor Mendel, Cpraelat.) In der Nacht vom Samstag auf den Sonntag ist der Abt und Praelat des Augustinerstiftes in Altbruenn, Gregor Mendel, gestorben. Schon vor laengerer Zeit von einem Herzleiden befallen	NA	NA	https://www.digitalniknihovna.cz/mzk/uuid/uuid:187d8380-320d-11e4-8e0d-005056827e51	*** NOT ON DISK - DO NOT INGEST *** The byline is verbatim but was read live from the MZK OCR API; the saved file bz1884_0107_uuid:dd0.txt holds a DIFFERENT page (a concert review whose only Mendel is Mendelssohn). Cause: the writer truncated the page pid to 8 chars, two pages of the same issue collided on that filename, and the later write overwrote the obituary page. Needs re-fetch before ingest
bz-1884-01-08-convent-parte	Bruenner Zeitung Nr.6, 08.01.1884: Parte des Convents des Augustinerstiftes St. Thomas	1884	de	decisions	S1	no	bz1884_0108_uuid:b85.txt	Der Convent des Augustiner E. 0. Stiftes von St.-Thomas zu Altbruenn in Maehren gibt hiemit ... die Nachricht von dem Hinscheiden seines hochverehrten Abtes, des hochwuerdigsten Herrn Gregor Joh. Mendel, inful. Praelaten, Comthurs des k. k. oest. Franz-Josephs-Ordens, emerit. Directors der maehrischen Landes-Hypothekenbank, gruendenden Mitgliedes des oest. meteorol. Vereines, Mitgliedes der k. k. maehr.-schles. Gesellschaft fuer Ackerbau, Natur- und Landeskunde	0.11889	0.00000	https://www.digitalniknihovna.cz/mzk/uuid/uuid:cbadbf50-320e-11e4-8e0d-005056827e51	carrier verified on disk (Convent des Augustiner / inful. Praelaten / Franz-Josephs-Ordens = 1 hit each). Filename also carries a truncated pid but no collision occurred here
bz-1884-01-09-leichenbegaengnis	Bruenner Zeitung Nr.7, 09.01.1884: Leichenbegaengniss des Praelaten Gregor Mendel	1884	de	timeline	S1	no	bz1884_0109_uuid:bb3.txt	(Leichenbegaengnis? deS hochw. Herrn Praelaten Gregor Mendel.) Bon der Augustinerkirche in Altbruenn aus fand heute Vormittags das feierliche Leichcnbcgaengniss des verstorbenen Praelaten Herrn Gregor Mendel statt.	0.16237	0.00000	https://www.digitalniknihovna.cz/mzk/uuid/uuid:8541f220-320e-11e4-8e0d-005056827e51	carrier verified on disk. Filename also carries a truncated pid but no collision occurred here
vnvb-bd16-1877-beobachtungsnetz	Bericht ueber das meteorologische Beobachtungsnetz und die Station Bruenn | Verh. naturf. Ver. Bruenn 16	1877	de	decisions	S1	no	verhandlungende161877natu.txt	In Bruenn liess sich zwar Herr kais. Rath Dr. P. Olexik, welcher 28 Jahre lang ununterbrochen beobachtete, durch andauernde Krankheit nicht abhalten, die Beobachtungen zu besorgen	0.09155	0.00045	https://archive.org/details/verhandlungende161877natu	carrier exclusive
vnvb-bd17-18-1879-beobachtertabelle	Beobachtertabelle (Praelat G. Mendel als Beobachter seit 1873) und Foerderungsbericht | Verh. naturf. Ver. Bruenn 17-18	1879	de	decisions	S1	no	verhandlungende1718natu_0.txt	1749 12| 204 | 1848 | Prael. G. Mendel.|is73 // des hochwuerdigsten Herrn Praelaten 6. Mendel	0.08459	0.00105	https://archive.org/details/verhandlungende1718natu_0	carrier exclusive
