# ── #117 Clara Barton (1821-12-25 – 1912-04-12, American nurse, founder of the American Red Cross; wrote in ENGLISH) corpus ledger ──
#
# columns (TAB separated, 9 of them):
#   short-id <TAB> URL <TAB> title <TAB> year <TAB> where-it-sits <TAB> language <TAB> tier <TAB> flags <TAB> note
#
# ══ HOW THIS LEDGER WAS PRODUCED ══
#   Every URL below was read back out of the '# URL:' header of the .txt that was actually
#   downloaded.  Attempts that failed are in _fetch.log; material that was found and
#   deliberately not taken is in _EXCLUDED.txt.  Nothing here was typed from memory.
#
# ══ TIERS ══
#   P1  text she wrote or signed, in a printing or transcription of that text
#   P2  a degraded carrier of the same text: repeat scan, hand-keyed transcription, later reprint
#   S1  contemporary third party (1860-1915)
#   S2  later study, biography or compilation
#
# ══ THE TIERING DECISION THAT MOVES THE NUMBERS ══
#   Where a volume is overwhelmingly somebody else's and carries only one signed piece of
#   hers (red-cross-1895-doolittle), the FILE is tiered S1, not P1.  Her section is still
#   usable and its exact line range is in _BOUNDARIES.json.  The two big biographies
#   (Epler 1915, W. E. Barton 1922) quote hundreds of her letters verbatim and were still
#   tiered S2, because at document level they are not hers.
#
# ══ RIGHTS ══
#   Published works: she died 1912, so life+70 has long run; every printed item below also
#   carries a title-leaf year of 1930 or earlier, so it is public domain in the US.
#   Unpublished LOC manuscripts: her own papers are public domain under 17 USC 303(a)
#   (unpublished works of an author who died in 1912 entered the public domain 2003-01-01).
#   For the incoming half of a correspondence folder the OTHER writer's death year was
#   checked one by one against Wikidata and is written into column 9; folders whose
#   correspondent could not be dated were NOT taken -- see _EXCLUDED.txt.
#
# ══ WHERE THIS LANDS AGAINST check_corpus_ceiling.py, AND WHAT WAS *NOT* DONE ══
#   208 sources, 135 primary, all 6 lanes.  deep wants 30 primary; there are 135.
#   deep is nonetheless NOT reached, by 0.0010:  135/208 = 0.6490 < 0.65.
#   **The shortfall is a RATIO, not a shortage of her own writing.**  It exists because
#   this harvest also pulled 13 duplicate scans of third-party books (Epler x3,
#   W. E. Barton x5, Young x3, Bacon-Foster x2, Pierce x2, Parkman x2, Pacific-slope x2)
#   into the denominator.
#
#   ★ NOTHING WAS DROPPED TO FIX THIS.  Deleting those rows would put deep green in one
#     command; that is 缩分母, and this project does not accept it.  Every file that was
#     fetched is listed.  Two tiering calls were also left conservative even though
#     flipping either would have crossed 0.65 on its own:
#       - the 17 LOC correspondence folders and 6 speeches-file correspondence folders are
#         S1, not P1, because the measured counts in column 9 show incoming letters dominate;
#       - red-cross-1895-doolittle and womans-work-in-america-1891 are S1, not P1, because
#         at document level they are somebody else's book carrying one signed piece of hers.
#     Six further files were moved DOWN from P1 to S1 after reading them (publisher form
#     contracts, royalty statements, hotel bills) -- that move cost 6 primary and was made
#     anyway.
andersonville-1866	https://archive.org/download/listofunionsoldi00atwa/listofunionsoldi00atwa_djvu.txt	A List of the Union Soldiers Buried at Andersonville. Copied from the Official Record in the Surgeon's Office at Andersonville	1866	New York: Published by the Tribune Association, 154 Nassau Street, 1866（扉页逐字）	en	P1	CO-AUTHORED;FULL-PAGE-SCAN	lane=decisions. ★ 分档理由（写清以便被质疑）：文件级别按「这份文件是谁的工作产物」定档——这是她发起并带队的安德森维尔标墓远征的官方产物，卷内印有她署名的报告（第 250–729 行，末行逐字 'CLARA  BARTON.'）。但全卷三分之二是 Dorence Atwater 的死亡名册，另有他的第一人称自述（第 60–249 行，末行 'DORENCE  ATWATER.'），**那一段绝不可当作她的话**——她从未被俘。边界见 _BOUNDARIES.json。扉页无个人署名，故标 CO-AUTHORED。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1866 早于 1930，美国已入公有领域
bacon-foster-1918	https://archive.org/download/clarabartonhuma00bacogoog/clarabartonhuma00bacogoog_djvu.txt	Clara Barton, Humanitarian, by Corra Bacon-Foster	1918	Google 扫描 clarabartonhuma00bacogoog	en	S2	THIRD-PARTY	lane=external. 华盛顿哥伦比亚特区历史学会 1918 年的评传。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1918 早于 1930，美国已入公有领域
bacon-foster-1918-DUPSCAN	https://archive.org/download/ClaraBartonHumanitarian/ClaraBartonHumanitarian_djvu.txt	Clara Barton, Humanitarian	1918	archive.org 项 ClaraBartonHumanitarian	en	S2	THIRD-PARTY;DUPLICATE-SCAN	lane=external. 同篇另一扫描。 RIGHTS=卒年 1912，终身+70 已过；且本件出版方扉页年份 1918 早于 1930，美国已入公有领域
corr-adee-alvey-a-1888-1903	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/051/0500/051_0514_0522.txt	General Correspondence, 1838-1912; Adee, Alvey A., 1888-1903	1888	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.051_0514_0522/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 0 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 7 处。对方版权依据：d.1924 (Wikidata Q3424605)。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
corr-anthony-susan-b-1869-1903	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/051/0500/051_0547_0622.txt	General Correspondence, 1838-1912; Anthony, Susan B., 1869-1903	1869	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.051_0547_0622/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 7 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 28 处。对方版权依据：d.1906 (Wikidata Q192245)。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
corr-appia-louis-1875-dec-1881-apr	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/051/0600/051_0623_0645.txt	General Correspondence, 1838-1912; Appia, Louis, 1875, Dec.-1881, Apr.	1875	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.051_0623_0645/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 2 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 6 处。对方版权依据：d.1898 (Wikidata Q116822)。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
corr-atwater-dorence-1869-1890-atwater-dorence	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/053/0000/053_0022_0033.txt	General Correspondence, 1838-1912; Atwater, Dorence, 1869-1890, Atwater, Dorence	1869	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.053_0022_0033/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 1 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 1 处。对方版权依据：d.1910 (Wikidata Q5297721)。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
corr-bellows-henry-w-1881	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/053/0400/053_0404_0410.txt	General Correspondence, 1838-1912; Bellows, Henry W., 1881	1881	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.053_0404_0410/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 0 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 4 处。对方版权依据：d.1882 (Wikidata Q5730113)。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
corr-boardman-mabel-t-1901-1902	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/053/0500/053_0548_0558.txt	General Correspondence, 1838-1912; Boardman, Mabel T., 1901-1902	1901	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.053_0548_0558/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 1 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 10 处。对方版权依据：d.1946 (Wikidata Q6721528)。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
corr-cleveland-grover-1886-1888	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/052/0200/052_0225_0228.txt	General Correspondence, 1838-1912; Cleveland, Grover, 1886-1888	1886	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.052_0225_0228/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 0 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 3 处。对方版权依据：d.1908 (Wikidata Q35171)。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
corr-douglass-frederick-1877-1879	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/052/0400/052_0417_0421.txt	General Correspondence, 1838-1912; Douglass, Frederick, 1877-1879	1877	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.052_0417_0421/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 1 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 3 处。对方版权依据：d.1895 (Wikidata Q215562)。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
corr-gage-frances-d-1863-1883	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/055/0300/055_0334_0468.txt	General Correspondence, 1838-1912; Gage, Frances D., 1863-1883	1863	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.055_0334_0468/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 2 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 54 处。对方版权依据：d.1884 (Wikidata Q5478590)。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
corr-hayes-rutherford-b-1878	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/057/0000/057_0077_0079.txt	General Correspondence, 1838-1912; Hayes, Rutherford B., 1878	1878	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.057_0077_0079/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 1 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 1 处。对方版权依据：d.1893 (Wikidata Q35686)。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
corr-hinton-richard-j-and-isabel-1871-1906-undated	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/057/0100/057_0105_0192.txt	General Correspondence, 1838-1912; Hinton, Richard J. and Isabel, 1871-1906, undated	1871	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.057_0105_0192/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 6 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 19 处。对方版权依据：d.1901 (Wikidata Q61643575)。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
corr-hoar-george-f-1888-1904	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/057/0300/057_0328_0332.txt	General Correspondence, 1838-1912; Hoar, George F., 1888-1904	1888	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.057_0328_0332/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 1 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 7 处。对方版权依据：d.1904 (Wikidata Q5539510)。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
corr-logan-mary-s-1897-1912	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/059/0000/059_0022_0074.txt	General Correspondence, 1838-1912; Logan, Mary S., 1897-1912	1897	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.059_0022_0074/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 11 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 23 处。对方版权依据：d.1923 (Wikidata Q28137087)。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
corr-margot-antoinette-and-family-1871-1889	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/059/0200/059_0244_0332.txt	General Correspondence, 1838-1912; Margot, Antoinette, and family, 1871-1889	1871	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.059_0244_0332/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 0 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 32 处。对方版权依据：d.1925 (Wikidata Q94370793)。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
corr-moynier-gustave-1877-1904	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/059/0400/059_0457_0536.txt	General Correspondence, 1838-1912; Moynier, Gustave, 1877-1904	1877	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.059_0457_0536/；整卷众包转录全文	en	S1	ATTRIBUTION-UNCLEAR	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 2 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 37 处。对方版权依据：d.1910 (Wikidata Q124535)。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
corr-willard-frances-e-1881-1896-undated-national-woman-s-c	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/063/0000/063_0050_0095.txt	General Correspondence, 1838-1912; Willard, Frances E., 1881-1896, undated, National Woman's Christian Temperance Union	1881	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.063_0050_0095/；整卷众包转录全文	en	S1	THIRD-PARTY	lane=conversations. ★ 分档决定：往还书信卷里**来信占多数**，文件级别不列 P1——把这种卷提成 P1 就是靠技术性做高一手占比。实测：整卷中单独成行、署名为她本人的落款 0 处，抬头写给她（Dear Miss Barton / Miss Clara Barton 等）的 22 处。对方版权依据：d.1898 (Wikidata Q450197)。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1849-jan-23-nov-5-includes-poems	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/001/0000/001_0027_0078.txt	Diaries and Journals: 1849, Jan. 23-Nov. 5 (includes poems)	1849	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.001_0027_0078/；整卷众包转录全文	en	P1	HIS-OWN	lane=expression. 她本人的日记，逐日记事，LOC 众包转录。该册标题自述含她的诗作，故归 expression 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1851-nov-diary-note	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/001/0100/001_0152_0155.txt	Diaries and Journals: 1851, Nov., diary note	1851	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.001_0152_0155/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1851-oct-11-nov-5-1852-feb-1-may-27-1853-1857	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/001/0000/001_0079_0151.txt	Diaries and Journals: 1851, Oct. 11-Nov. 5;1852, Feb. 1-May 27; 1853-1857	1851	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.001_0079_0151/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1859-jan-31-dec-24-1861-sept	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/001/0100/001_0156_0260.txt	Diaries and Journals: 1859, Jan. 31-Dec. 24; 1861, Sept.	1859	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.001_0156_0260/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1862-dec	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/001/0200/001_0261_0263.txt	Diaries and Journals: 1862, Dec.	1862	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.001_0261_0263/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
diary-1862-jan-dec-1865	https://tile.loc.gov/storage-services/service/gdc/gdccrowd/mss/mss11973/001/0200/001_0264_0348.txt	Diaries and Journals: 1862, Jan.-Dec.; 1865	1862	LOC 数字馆藏 https://www.loc.gov/resource/mss11973.001_0264_0348/；整卷众包转录全文	en	P1	HIS-OWN	lane=timeline. 她本人的日记，逐日记事，LOC 众包转录。以日期为轴的连续记事，归 timeline 道。 RIGHTS=卒年 1912，终身+70 已过；未刊手稿依 17 USC 303(a) 最迟 2003-01-01 入公有领域
